#_,Name,Short Name,"Price,1h,24h,Market Cap, Volume",Blockchain,Added
1,RiseHero,RISE,"$0.02504 8.59% 87.47% $2,503,672 $227,907",BNB,6 hours ago
2,Spartan,SPA,"$0.02575 0.11% 14.46% $77 $121,788",BNB,6 hours ago
3,Trapeza Protocol,FIDL,$82.89 6.04% 1.81%,--,"$274,891",BNB,6 hours ago
6,Mr.FOX TOKEN,MRFOX,"$0.04132 0.24% 13.94% $82,641,199 $407,350",BNB,9 hours ago
7,Eagle Token,EAGLE,"$0.000000009795 0.09% 51.03% $97,948 $10,342,928",BNB,10 hours ago
9,EMP Shares,ESHARE,"$9,139.82 4.90% 0.84% $218,066,908 $3,578,881",BNB,14 hours ago
11,MineCrypto,MCR,"$0.4648 1.90% 21.93% $41,833,021 $812,786",BNB,14 hours ago
13,Baby Aetherius,BABYAETH,"$0.000003558 0.47% 10.31% $355,794 $234,486",BNB,18 hours ago
15,Big Red Dog,BDOG,$0.0003779 0.17% 22.18%,--,"$95,207",BNB,19 hours ago
2,Revenge on the Squid Gamers,KILLSQUID,"$0.000001056 22.93% 25.68% $105,579 $135,819",BNB,7 hours ago
3,Cryptoheadz,HEADZ,"$0.000000002122 0.03% 22.85% $2,122,150 $152,609",BNB,7 hours ago
4,TalentCoin,TLNT,"$0.01793 2.44% 45.22% $805,962 $244,957",BNB,7 hours ago
9,HyperVerse,HVT,"$7.00 0.01% 1.16% $69,997,771,333 $568,272",BNB,8 hours ago
10,eFin Decentralized,WEFIN,"$0.000187 19.19% 42.51% $2,057,322 $140,334",BNB,8 hours ago
12,Arkania Protocol,ANIA,"$0.02116 5.74% 46.23% $2,116,160 $290,487",BNB,8 hours ago
19,Speed Cheems,SCH,"$0.0001092 0.06% 40.40% $109,195 $141,720",BNB,11 hours ago
26,Emp Money,EMP,"$1.82 1.77% 6.86% $10,986,632 $1,635,842",BNB,13 hours ago
